,BSID,LONG,LAT,X_COORD,Y_COORD,ROUTES,STOPNAME,DIR,DISTANCE,POSTAL,PID,LOCATION
2476,25738.0,-104.810454,39.609719,3194273.93992,1647705.82341,"153, 483",S Parker Rd & Orchard Rd,S,75.0,80016,0,F
2477,25739.0,-104.773843,39.549847,3204762.8928,1625978.57277,483,Crown Crest Blvd & S Parker Rd {1408},NE,75.0,80138,0,F
2478,25740.0,-104.768824,39.538241,3206212.15193,1621762.63455,483,S Parker Rd & Lincoln Ave {1408},SW,75.0,80138,0,N
2479,25741.0,-104.771873,39.53545,3205360.41476,1620739.15531,483,Dransfeldt Rd & Lincoln Ave {1408},S,75.0,80134,0,M
2480,25742.0,-104.771596,39.531772,3205449.27946,1619400.13603,483,Dransfeldt Rd & Progress Ln {1408},S,75.0,80134,0,F
2481,25746.0,-104.764469,39.518691,3207498.01113,1614651.82799,"P, 483",Mainstreet & S Parker Rd {1408},E,75.0,80138,0,F
2482,25750.0,-104.77125,39.52694,3205560.98645,1617640.95165,483,Drasnfeldt Rd & Plaza Dr {1408},N,75.0,80134,0,F
2483,25751.0,-104.771432,39.532527,3205493.32987,1619675.50205,483,Dransfeldt Rd & Progress Ln {1408},N,75.0,80134,0,F
2484,25752.0,-104.810949,39.611131,3194130.57938,1648219.07515,"153, 483",S Parker Rd & Orchard Rd,N,75.0,80015,0,F
2485,25753.0,-104.81448171,39.61453556,3193125.94948,1649451.63112,153,S Chambers Rd & S Parker Rd,NE,165.0,80015,0,F
2486,25754.0,-104.810268,39.620733,3194295.88375,1651717.9903,153,S Chambers Rd & Crestline Ave,N,75.0,80015,0,F
2487,25755.0,-104.810137,39.63222,3194301.01206,1655902.34191,153,S Chambers Rd & Smoky Hill Rd,N,75.0,80015,0,N
2488,25756.0,-104.810135,39.635011,3194293.85533,1656918.95375,153,S Chambers Rd & Pheasant Run Pkwy,N,75.0,80015,0,F
2489,25757.0,-104.81053,39.634318,3194184.52528,1656665.68738,153,S Chambers Rd & Pheasant Run,S,75.0,80015,0,F
2490,25758.0,-105.00766284,39.69583913,3138542.61043,1678713.8697,11,W Mosier Pl & S Quivas St,W,250.0,80223,-1,F
2491,25759.0,-105.078402,39.797559,3118464.96168,1715666.83641,"50, 72, 76, 52",Olde Town Arvada PnR Gate C,E,75.0,80002,34,A
2492,25760.0,-104.99200335,39.74887417,3142841.08259,1698056.72549,122X,18th St & Curtis St,N,100.0,80202,0,N
2493,25761.0,-104.772925,39.722048,3204519.73935,1688703.85471,157,Steamboat Blvd & Aspen St,W,75.0,80011,0,N
2494,25762.0,-104.772924,39.722189,3204519.60958,1688755.21692,157,Steamboat Blvd & Aspen St,E,75.0,80011,0,N
2495,25763.0,-104.967883,39.780815,3149555.13998,1709730.51606,48,46th Ave & Brighton Blvd,E,275.0,80216,0,N
2496,25764.0,-104.967448,39.780948,3149677.11431,1709779.68016,48,46th Ave & Baldwin Ct,W,25.0,80216,0,N
2497,25765.0,-104.950199,39.856153,3154359.19935,1737203.72924,88,Chaparral Village Mobile Home Park {1203},W,75.0,80229,0,A
2498,25774.0,-104.903552,39.790957,3167611.30803,1713537.22266,88,Quebec St & 53rd Pl,SE,75.0,80022,0,F
2499,25775.0,-104.90327439,39.79108774,3167689.00761,1713585.35867,88,Quebec St & 53rd Pl,N,850.0,80216,-1,N
2500,25777.0,-104.877261,39.559196,3175578.07432,1629167.32923,402L,Park Meadows Center Dr & S Chester St {1401},SW,75.0,80124,0,N
2501,25782.0,-105.32597338,40.01146588,3048750.67107,1793363.37913,N,Hwy 119 & Chapman Dr,SW,835.0,80302,-1,N
2502,25783.0,-105.32595338,40.00930745,3048757.78008,1792577.05391,N,Hwy 119 & Chapman Dr,N,50.0,80302,-1,F
2503,25785.0,-105.2807053,40.05815492,3061390.69053,1810400.22115,204,Yarmouth Ave & 13th St,E,65.0,80304,-1,F
2504,25786.0,-105.27878448,40.05821753,3061928.35894,1810424.33546,204,Yarmouth Ave & 15th St,E,75.0,80304,0,F
2505,25787.0,-105.275994,40.058175,3062709.57875,1810410.75582,204,Yarmouth Ave & 17th St,E,75.0,80304,0,F
2506,25788.0,-104.78330688,39.72260051,3201597.88309,1688881.90514,157,Telluride St & Winterpark Ave,E,75.0,80011,-1,A
2507,25789.0,-105.110436,39.740302,3109553.21369,1694769.66513,"100, 16",W Colfax Ave & Kipling St,W,75.0,80215,0,F
2508,25791.0,-104.772407,39.753551,3204573.53759,1700180.21136,"169, 169L",Tower Rd & Smith Rd,S,75.0,80011,0,F
2509,25792.0,-104.772177,39.753673,3204637.84807,1700225.16899,"169, 169L",Tower Rd & Smith Rd,N,75.0,80011,0,N
2510,25793.0,-104.914228,39.70745412,3164807.3564,1683100.71634,65,Virginia Ave & S Monaco Pkwy,E,300.0,80224,-1,N
2511,25794.0,-104.77087563,39.51793855,3205692.89776,1614363.19335,483,Dransfeldt Rd & Mainstreet {1408},S,75.0,80134,-1,F
2512,25795.0,-104.770301,39.51135897,3205874.25269,1611968.0165,483,S Dransfeldt Rd & Twenty Mile Rd {1408},S,400.0,80134,-1,N
2513,25796.0,-104.767538,39.5101683,3206657.27523,1611540.61159,483,Twenty Mile Rd & Pavillion Dr {1408},E,50.0,80134,-1,N
2514,25798.0,-104.767321,39.510437,3206717.70802,1611638.97335,483,Twenty Mile Rd & Dransfeldt Rd {1408},W,75.0,80134,0,F
2515,25799.0,-104.76983752,39.51318435,3205999.67049,1612633.92238,483,S Dransfeldt Rd & Twenty Mile Rd {1408},N,850.0,80134,0,F
